animeID,name,source,producers,genre,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
31019,Norasco (TV),Original,,Slice of Life,Kachidoki Studio,43,FALSE,12332,12273,193,0,18,4.94
31020,Norasco: Cinema Point Card-hen,Original,,Comedy,Kachidoki Studio,10,FALSE,12334,13691,118,0,17,6.29
31033,Nintama Rantarou: Dokutake Onsen no Dan,Unknown,NHK,Comedy,Ajia-Do,1,FALSE,12300,12348,189,0,32,6.44
31034,Nintama Rantarou: Ninjutsu Gakuen to Nazo no Onna - Kore wa Jiken Da yo! no Dan,Unknown,Ajia-Do,Comedy,,1,FALSE,12301,12244,195,0,28,6.57
31035,Inferno Cop Specials,Original,,Action,Trigger,3,FALSE,6969,6842,2537,2,692,6.22
31043,Boku dake ga Inai Machi,Manga,Aniplex,Mystery,A-1 Pictures,12,FALSE,89,37,804512,24571,506066,8.54
31044,Kamisama Minarai: Himitsu no Cocotama,Original,TV Tokyo,Fantasy,OLM,139,FALSE,6921,7353,2011,9,101,6.23
31048,Burenai Ai de,Unknown,,Music,,1,FALSE,5379,8592,1135,0,646,6.59
31049,Beyblade Burst,Original,TV Tokyo,Action,OLM,51,FALSE,5474,4504,7389,45,2110,6.57
31050,Cyborg 009 VS Devilman,Original,Lantis,Action,Actas,3,FALSE,5667,4469,7550,13,3686,6.53
31051,Kuroko no Basket: Saikou no Present Desu,Manga,Bandai Visual,Action,Production I.G,1,FALSE,292,1826,44381,113,23573,8.24
31052,Saru Getchu Movie: Ougon no Pipo Helmet - Ukki Battle,Game,Toho,Adventure,,1,FALSE,12790,13164,144,0,29,5.31
31054,"Letchu, Getchu, Saru Getchu",Game,,Comedy,,76,FALSE,11854,11955,217,0,47,5.06
31055,Tobidasu PriPara: Mi~nna de Mezase! Idol☆Grand Prix,Game,Avex Pictures,Music,10Gauge,1,FALSE,5687,9311,788,2,79,6.53
31056,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,Manga,Lantis,Comedy,Silver Link.,5,FALSE,3319,2913,19740,16,8502,7.09
31057,Onaka Hime,Unknown,Echoes,Fantasy,,3,FALSE,9069,11231,302,0,51,5.44
31064,Gunslinger Stratos: The Animation - Kikan/Kaze no Yukue,Unknown,,Action,A-1 Pictures,1,FALSE,7443,7213,2145,1,563,6.09
31065,Gunslinger Stratos: The Animation - Bunki/Futatsu no Mirai,Unknown,,Action,A-1 Pictures,1,FALSE,6963,7173,2182,1,532,6.22
31068,Hime Chen! Otogi Chikku Idol Lilpri (2011),Unknown,Shogakukan Music & Digital Entertainment,Magic,Telecom Animation Film,51,FALSE,4292,8976,930,4,250,6.83
31070,Etotama Specials,Original,,Action,Shirogumi,6,FALSE,5387,5015,5680,2,2468,6.59
31071,"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou",Radio,,Comedy,DLE,5,FALSE,9487,11010,338,1,59,5.2
31072,Show By Rock!!: Legend of Shingan Crimsonz,Game,Sanrio,Comedy,,3,FALSE,7672,8506,1184,3,263,6.02
31073,Show By Rock!!: Plasmagica na Gogo,Game,Sanrio,Comedy,,3,FALSE,8087,8676,1093,3,224,5.87
31078,PikkaPika Summer,Original,,,,31,FALSE,12576,12861,159,1,7,5
31080,Anne Happy♪,Manga,Sotsu,Slice of Life,Silver Link.,12,FALSE,3424,1654,50954,225,21165,7.06
31091,Komori-san wa Kotowarenai!,4-koma manga,Genco,Slice of Life,Artland,12,FALSE,6722,2110,34954,30,17387,6.28
31096,Hibike! Euphonium: Suisougaku-bu no Nichijou,Original,,Comedy,Kyoto Animation,7,FALSE,4666,2987,18808,11,8452,6.75
31098,Ushio to Tora (TV) 2nd Season,Manga,Sotsu,Action,MAPPA,13,FALSE,521,1247,74929,257,36718,8.04
31102,Taiko no Tatsujin: 15 Shuunenkinen Short Animation,Unknown,,Game,Studio Ghibli,1,FALSE,9432,8974,931,0,404,5.24
31105,Buddy Complex: Daremo Shiranai Ashita e,Original,Lantis,Action,Sunrise,1,FALSE,3499,7342,2025,2,686,7.04
31107,JR Nishi Nihon: Summer Train!,Original,,Slice of Life,Studio Ponoc,1,FALSE,8946,10489,434,1,208,5.49
31108,Green Dakara x Bakemono no Ko,Unknown,,Music,,2,FALSE,9550,7063,2285,3,868,5.16
31109,Hatsukoi Monster,Manga,Kodansha,Comedy,Studio Deen,12,FALSE,8073,1438,62871,121,18430,5.87
31111,Nisshin Seifun Group CM,Other,,Kids,Studio Ghibli,3,FALSE,7418,8977,929,0,383,6.1
31113,Puchitto Furikaerintia,Unknown,Bandai Visual,Action,Production I.G,1,FALSE,6782,7584,1824,2,546,6.27
31115,Schick x Evangelion,Original,,Comedy,,2,FALSE,8554,5880,3810,21,1873,5.68
31116,Momotaros no Natsuyasumi,Unknown,,Action,,1,FALSE,12117,13366,134,0,44,4.18
31121,Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,Manga,TOHO animation,Slice of Life,Lerche,60,FALSE,5404,2551,25257,43,9590,6.59
31128,Arslan Senki (TV): Dakkan no Yaiba,Manga,Mainichi Broadcasting System,Action,SANZIGEN,1,FALSE,5469,3993,9897,9,4424,6.57
31129,Chichi to Ko,Unknown,Gakken,Drama,,1,FALSE,10638,14102,97,0,16,5.25
31133,Shounen Sunday CM Gekijou: InuYasha-hen,Unknown,,Action,,2,FALSE,7243,7121,2242,5,774,6.15
31135,Idea ga Tsukamaranai.,Unknown,,Dementia,,1,FALSE,11335,13558,126,0,21,3.71
31137,Mahou Shoujo Lyrical Nanoha ViVid: Special Program,Manga,,Action,A-1 Pictures,1,FALSE,7274,7512,1880,5,524,6.14
31138,Overlord: Ple Ple Pleiades,Light novel,,Action,Studio PuYUKAI,8,FALSE,3407,1745,46960,57,25193,7.07
31139,Ame-iro Cocoa: Rainy Color e Youkoso!,Digital manga,DAX Production,Slice of Life,EMT²,12,FALSE,9893,4379,7950,3,3583,4.85
31143,Onsen Yousei Hakone-chan,Web manga,,Slice of Life,Production Reed,13,FALSE,8056,2681,23115,13,11198,5.88
31144,Mottainai (Special),Original,CoMix Wave Films,Slice of Life,,1,FALSE,5642,6295,3196,6,1604,6.54
31145,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu Picture Drama,Unknown,,Comedy,Sunrise,1,FALSE,3234,4799,6282,11,1683,7.11
31147,Concrete Revolutio: Choujin Gensou,Original,Bandai Visual,Action,Bones,13,FALSE,4505,1424,64015,173,18635,6.78
31149,Persona 3 the Movie 4: Winter of Rebirth,Game,Aniplex,Action,A-1 Pictures,1,FALSE,459,2223,32276,243,13222,8.09
31150,Xi Yang Yang Yu Hui Tai Lang,Unknown,Creative Power Entertaining,Adventure,,NA,TRUE,7388,12174,201,0,56,6.11
31156,"Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari",Light novel,,Action,Diomedea,1,FALSE,5873,3326,15202,12,6149,6.48
31157,ClassicaLoid,Original,NHK,Music,Sunrise,25,FALSE,5905,2937,19337,67,3584,6.47
31158,Hetalia: The World Twinkle Specials,Manga,,Comedy,,3,FALSE,1639,5440,4607,17,1479,7.51
